codeName,year,countI,countPR,totalActivity
C,2012,16423,14560,30983
C,2013,44471,31661,76132
C,2014,73609,64306,137915
C,2015,114195,114149,228344
C,2016,151362,146306,297668
C,2017,150978,153689,304667
C,2018,122209,122630,244839
C,2019,113360,131482,244842
C,2020,124754,133868,258622
C,2021,90268,114026,204294
C#,2012,12657,7650,20307
C#,2013,37850,20697,58547
C#,2014,77980,44574,122554
C#,2015,161275,123389,284664
C#,2016,242794,172612,415406
C#,2017,258690,209497,468187
C#,2018,189082,144026,333108
C#,2019,172367,159272,331639
C#,2020,151950,168845,320795
C#,2021,102178,130748,232926
C++,2012,35760,20120,55880
C++,2013,76914,44235,121149
C++,2014,142323,106360,248683
C++,2015,206343,189111,395454
C++,2016,266111,274053,540164
C++,2017,309431,334776,644207
C++,2018,268175,286704,554879
C++,2019,230031,305125,535156
C++,2020,234900,329484,564384
C++,2021,168453,254591,423044
CSS,2012,4450,2330,6780
CSS,2013,22576,15376,37952
CSS,2014,46517,44415,90932
CSS,2015,76071,86242,162313
CSS,2016,90400,121092,211492
CSS,2017,85330,120944,206274
CSS,2018,37491,44658,82149
CSS,2019,23701,40006,63707
CSS,2020,18722,41855,60577
CSS,2021,10515,30028,40543
Clojure,2012,1612,1674,3286
Clojure,2013,2755,2858,5613
Clojure,2014,10045,8638,18683
Clojure,2015,15225,18166,33391
Clojure,2016,15220,20261,35481
Clojure,2017,13803,19905,33708
Clojure,2018,10513,14417,24930
Clojure,2019,6222,10931,17153
Clojure,2020,5531,9399,14930
Clojure,2021,3011,6106,9117
CoffeeScript,2012,5007,2944,7951
CoffeeScript,2013,13551,8891,22442
CoffeeScript,2014,35108,22165,57273
CoffeeScript,2015,55821,32316,88137
CoffeeScript,2016,38839,31503,70342
CoffeeScript,2017,24930,18755,43685
CoffeeScript,2018,12112,8471,20583
CoffeeScript,2019,5622,6153,11775
CoffeeScript,2020,4735,6245,10980
CoffeeScript,2021,2513,4989,7502
ColdFusion,2012,741,580,1321
ColdFusion,2013,939,643,1582
ColdFusion,2014,1096,770,1866
ColdFusion,2015,1288,927,2215
ColdFusion,2016,1565,1093,2658
ColdFusion,2017,1365,593,1958
ColdFusion,2018,1275,264,1539
ColdFusion,2019,1315,339,1654
ColdFusion,2020,1899,0,1899
ColdFusion,2021,1982,0,1982
Common Lisp,2012,338,103,441
Common Lisp,2013,881,471,1352
Common Lisp,2014,1253,746,1999
Common Lisp,2015,1501,1445,2946
Common Lisp,2016,2111,2815,4926
Common Lisp,2017,2053,2289,4342
Common Lisp,2018,1240,1175,2415
Common Lisp,2019,914,840,1754
Common Lisp,2020,803,1383,2186
Common Lisp,2021,667,631,1298
D,2012,261,0,261
D,2013,620,258,878
D,2014,2050,1393,3443
D,2015,2646,1568,4214
D,2016,3358,1725,5083
D,2017,3500,1765,5265
D,2018,1784,805,2589
D,2019,761,377,1138
D,2020,685,268,953
D,2021,236,153,389
Elixir,2012,685,562,1247
Elixir,2013,1712,1355,3067
Elixir,2014,2872,3070,5942
Elixir,2015,6541,8009,14550
Elixir,2016,13629,16320,29949
Elixir,2017,17216,23296,40512
Elixir,2018,9841,16280,26121
Elixir,2019,7490,18709,26199
Elixir,2020,5712,16719,22431
Elixir,2021,2725,11711,14436
Emacs Lisp,2012,2145,1831,3976
Emacs Lisp,2013,5600,4838,10438
Emacs Lisp,2014,8688,6922,15610
Emacs Lisp,2015,12934,9081,22015
Emacs Lisp,2016,11584,8692,20276
Emacs Lisp,2017,12620,9044,21664
Emacs Lisp,2018,9713,7696,17409
Emacs Lisp,2019,8869,7117,15986
Emacs Lisp,2020,10527,8297,18824
Emacs Lisp,2021,6849,6456,13305
Erlang,2012,1925,2528,4453
Erlang,2013,2982,4915,7897
Erlang,2014,5488,7758,13246
Erlang,2015,9294,12977,22271
Erlang,2016,10163,13309,23472
Erlang,2017,10072,11705,21777
Erlang,2018,5668,9264,14932
Erlang,2019,3493,5357,8850
Erlang,2020,2880,5422,8302
Erlang,2021,2693,6299,8992
F#,2012,134,0,134
F#,2013,630,244,874
F#,2014,3951,2821,6772
F#,2015,6066,4751,10817
F#,2016,5842,6314,12156
F#,2017,6383,5591,11974
F#,2018,3378,3504,6882
F#,2019,2769,2404,5173
F#,2020,2172,2168,4340
F#,2021,1698,1795,3493
Go,2012,3098,2012,5110
Go,2013,14227,12293,26520
Go,2014,47753,53994,101747
Go,2015,138253,183145,321398
Go,2016,237497,308436,545933
Go,2017,300294,396543,696837
Go,2018,239979,335173,575152
Go,2019,244400,373058,617458
Go,2020,246690,419034,665724
Go,2021,172963,318008,490971
Groovy,2012,1079,2760,3839
Groovy,2013,3503,2997,6500
Groovy,2014,7698,6672,14370
Groovy,2015,13178,11199,24377
Groovy,2016,14142,17805,31947
Groovy,2017,15367,23066,38433
Groovy,2018,11607,19665,31272
Groovy,2019,10069,17910,27979
Groovy,2020,10293,19357,29650
Groovy,2021,6980,12794,19774
HTML,2012,6353,4632,10985
HTML,2013,23931,18549,42480
HTML,2014,62516,56864,119380
HTML,2015,126666,161820,288486
HTML,2016,147731,238779,386510
HTML,2017,142718,248516,391234
HTML,2018,71742,127612,199354
HTML,2019,53068,117347,170415
HTML,2020,43342,113074,156416
HTML,2021,27371,92804,120175
Haskell,2012,3559,2221,5780
Haskell,2013,5424,3426,8850
Haskell,2014,20377,8298,28675
Haskell,2015,17311,14163,31474
Haskell,2016,18072,13986,32058
Haskell,2017,15775,18030,33805
Haskell,2018,9546,12036,21582
Haskell,2019,7195,7491,14686
Haskell,2020,6343,7687,14030
Haskell,2021,4599,6009,10608
Haxe,2012,378,0,378
Haxe,2013,1182,333,1515
Haxe,2014,2004,1177,3181
Haxe,2015,2945,2037,4982
Haxe,2016,3390,2690,6080
Haxe,2017,2106,1883,3989
Haxe,2018,1394,1194,2588
Haxe,2019,1264,758,2022
Haxe,2020,1029,735,1764
Haxe,2021,390,115,505
Java,2012,49331,34249,83580
